date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:00	302/302	---M-Z	200	added ('OK')	text/plain	etag:%223028475558%22	https://docs.nvidia.com/robots.txt		(from )
14:43:01	11568/11568	---M-Z	200	added ('OK')	text/html	etag:%22458028829%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/index.html	(from )
14:43:01	1163/1163	---M-Z	200	added ('OK')	text/css	etag:%223564168033%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/tabs.css	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/tabs.css	(from https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/)
14:43:01	150108/150108	---M--	200	added ('OK')	application/octet-stream	etag:%22972054537%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/Nvidia.ico	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/Nvidia.ico	(from https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/)
14:43:01	146351/146351	---M-Z	200	added ('OK')	text/javascript	etag:%224026228406%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/jquery.js	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/jquery.js	(from https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/)
14:43:02	3422/3422	---M-Z	200	added ('OK')	text/javascript	etag:%221828217902%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/dynsections.js	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/dynsections.js	(from https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/)
14:43:02	19684/19684	---M-Z	200	added ('OK')	text/javascript	etag:%221937221827%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/reverb-search.js	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/reverb-search.js	(from https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/)
14:43:02	2036/2036	---M-Z	200	added ('OK')	text/css	etag:%22743483931%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/navtree.css	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/navtree.css	(from https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/)
14:43:02	2800/2800	---M-Z	200	added ('OK')	text/javascript	etag:%221494825499%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/resize.js	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/resize.js	(from https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/)
14:43:02	19007/19007	---M-Z	200	added ('OK')	text/javascript	etag:%223930450097%22	https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/navtree.js	C:/Users/Christoph/Desktop/website/NV_docs/docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/navtree.js	(from https://docs.nvidia.com/drive/drive_os_5.1.6.1L/nvvib_docs/DRIVE_OS_Linux_SDK_Development_Guide/baggage/)
